objectID,ra,dec,total_votes,p_smooth,p_features,p_artifact,p_edgeon_yes,p_edgeon_no,p_spiral,p_no_spiral,imgID,morphology,edgeon,spiral
587722981748113567,198.3684844970703,-1.211204171180725,216,0.0219999998807907,0.9710000157356262,0.0,0.0,1.0,0.8230458479938914,0.0174362295845396,100,features,no,spiral
587736915139035236,213.4807281494141,12.72399616241455,137,0.0900000035762786,0.9470000267028807,0.0439999997615814,0.0,1.0,0.9831318510677626,1.4653603648233118e-05,100002,features,no,spiral
587736915139100839,213.6546630859375,12.705498695373535,150,0.9049999713897704,0.0869999974966049,0.0,0.0,1.0,0.0,1.0,100004,smooth,no,no
587736915139362956,214.21597290039065,12.585882186889648,198,0.0,0.9980000257492064,0.0160000007599592,0.0,1.0,0.996905858961646,0.0001088627084403,100006,features,no,spiral
587736915139690695,215.09597778320312,12.463923454284668,151,0.871999979019165,0.1319999992847442,0.0219999998807907,0.0,1.0,0.9978981152409472,8.475050871971591e-12,100010,smooth,no,spiral
587736915139756205,215.1739044189453,12.601189613342283,224,0.0410000011324882,0.9800000190734864,0.0230000000447034,0.0,1.0,0.996952486574452,9.030103336793885e-08,100011,features,no,spiral
587736915139756286,215.29244995117188,12.567071914672852,316,0.0,1.0,0.0,0.0,1.0,0.9998831779707296,7.080126788569044e-11,100012,features,no,spiral
587736915139821575,215.32781982421875,12.505955696105955,132,0.930999994277954,0.0230000000447034,0.0460000000894069,0.0,1.0,0.0,1.0,100013,smooth,no,no
587736915140215033,216.35076904296875,12.421854972839355,256,0.0,1.0,0.003000000026077,0.0,1.0,0.999999189745427,7.867145958016898e-37,100016,features,no,spiral
587736915140280472,216.3618927001953,12.374528884887695,161,0.090999998152256,0.9070000052452089,0.0,0.0096385614910471,0.9630607714896038,0.9767504145777782,0.0011783099624678,100017,features,no,spiral
587736915140673625,217.325439453125,12.18930721282959,164,0.8209999799728394,0.1570000052452087,0.0219999998807907,0.1490000039339065,0.8510000109672546,0.1669999957084655,0.8330000042915344,100022,smooth,no,no
587736915140739247,217.41958618164065,12.118915557861328,142,0.8560000061988831,0.1490000039339065,0.0020000000949949,0.0,1.0,0.0,1.0,100026,smooth,no,no
587736915141066976,218.22805786132807,12.069686889648438,158,0.0240000002086162,0.9660000205039978,0.0320000015199184,0.0104927447524329,0.9605455358096012,0.9654885840965916,3.2312195373511184e-05,100030,features,no,spiral
587736915141460168,219.08517456054688,12.016327857971191,242,0.0,0.9919999837875366,0.0,0.0,1.0,0.9999998316027042,9.354762849638854e-28,100040,features,no,spiral
587736915141525648,219.25173950195312,11.914823532104492,165,0.7760000228881836,0.9739999771118164,0.0020000000949949,0.1,0.9328649051595128,0.9148187179623684,0.8025297428904957,100041,features,no,spiral
587736915141525719,219.3228302001953,12.046563148498535,150,0.0560000017285347,0.9470000267028807,0.0010000000474974,0.0,1.0,0.99902719345266,8.510817205559719e-14,100042,features,no,spiral
587736915141656852,219.6629943847656,11.846282958984377,181,0.0270000007003545,0.9710000157356262,0.0,0.0,1.0,0.9998070672876967,2.524710646556616e-13,100043,features,no,spiral
587736915141918980,220.25125122070312,11.78183650970459,149,0.4020000100135803,0.8159999847412109,0.0020000000949949,0.0,1.0,0.0,1.0,100049,features,no,no
